Element,HTML,Content
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:11:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:11:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT AFLIBERCEPT 40 MG/ML INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN.</a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT AFLIBERCEPT 40 MG/ML INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:12:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:12:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT PONATINIB 15MG FILM-COATED TABLET BAGI TEMPOH DUA (2) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN.</a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT PONATINIB 15MG FILM-COATED TABLET BAGI TEMPOH DUA (2) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:13:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:13:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT EMULSIFYING OINTMENT (100 GRAM) BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN.</a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT EMULSIFYING OINTMENT (100 GRAM) BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:14:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:14:j_idt403'});return false;"" style=""margin-right:20px;"">PERKHIDMATAN KAWALAN KESELAMATAN TANPA SENJATA API (STATIK) BAGI KLINIK KESIHATAN AIR PUTIH,PEJABAT KESIHATAN DAERAH BARAT DAYA BAGI TEMPOH JANUARI 2024 SEHINGGA JUN 2025</a>","PERKHIDMATAN KAWALAN KESELAMATAN TANPA SENJATA API (STATIK) BAGI KLINIK KESIHATAN AIR PUTIH,PEJABAT KESIHATAN DAERAH BARAT DAYA BAGI TEMPOH JANUARI 2024 SEHINGGA JUN 2025"
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:15:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:15:j_idt403'});return false;"" style=""margin-right:20px;"">PEMBEKALAN CENDERAMATA / CENDERAHATI BAGI IBU PEJABAT JABATAN IMIGRESEN MALAYSIA</a>",PEMBEKALAN CENDERAMATA / CENDERAHATI BAGI IBU PEJABAT JABATAN IMIGRESEN MALAYSIA
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:16:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:16:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT SEMAGLUTIDE 14 MG TABLET BAGI TEMPOH DUA (2) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN.</a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT SEMAGLUTIDE 14 MG TABLET BAGI TEMPOH DUA (2) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:17:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:17:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT ARSENIC TRIOXIDE 10MG/10ML INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN. </a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT ARSENIC TRIOXIDE 10MG/10ML INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:18:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:18:j_idt403'});return false;"" style=""margin-right:20px;"">[FTA (CPTPP)] TENDER PEMBEKALAN DAN PENGIRIMAN SUSU TEPUNG KE JABATAN PENJARA MALAYSIA BAGI ZON SELATAN (NEGERI SEMBILAN, MELAKA DAN JOHOR) BAGI TEMPOH KONTRAK 3 TAHUN (MAKLUMAT LANJUT SILA LAYARI LAMAN SESAWANG HTTPS://WWW.PRISON.GOV.MY/MS/SENARAI-TENDER) [TAWARAN PETENDER DIBENARKAN DALAM BM/ENG]. </a>","[FTA (CPTPP)] TENDER PEMBEKALAN DAN PENGIRIMAN SUSU TEPUNG KE JABATAN PENJARA MALAYSIA BAGI ZON SELATAN (NEGERI SEMBILAN, MELAKA DAN JOHOR) BAGI TEMPOH KONTRAK 3 TAHUN (MAKLUMAT LANJUT SILA LAYARI LAMAN SESAWANG HTTPS://WWW.PRISON.GOV.MY/MS/SENARAI-TENDER) [TAWARAN PETENDER DIBENARKAN DALAM BM/ENG]."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:19:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:19:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MEMBERI LATIHAN PERISIAN KEJURUTERAAN BAGI KEGUNAAN MAKMAL REKABENTUK PINTAR (CREATIVE DESIGN CENTRE/CDeC) POLITEKNIK IBRAHIM SULTAN</a>","MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MEMBERI LATIHAN PERISIAN KEJURUTERAAN BAGI KEGUNAAN MAKMAL REKABENTUK PINTAR (CREATIVE DESIGN CENTRE/CDeC) POLITEKNIK IBRAHIM SULTAN"
a,"<a href=""./privacy-policy"">Dasar Privasi</a>",Dasar Privasi
a,"<a href=""./security-policy"">Dasar Keselamatan</a>",Dasar Keselamatan
a,"<a href=""./sitemap"">Peta Laman</a>",Peta Laman
a,"<a href=""./contact-us"">Hubungi Kami</a>",Hubungi Kami
a,"<a href=""./rss""><img alt=""RSS"" src=""/NGeP-Revamp-Classic-Public-Theme-theme/images/common/rss.png"" title=""RSS""/>  RSS</a>",RSS
label,"<label class=""ui-selectonemenu-label ui-inputfield ui-corner-all"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_label"" style=""width: 209.2px;"">- Pilih Satu -</label>",- Pilih Satu -
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt63"">No. Sebut Harga / Tender</label>",No. Sebut Harga / Tender
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt69"">Tajuk Perolehan</label>",Tajuk Perolehan
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt75"">Kod Bidang</label>",Kod Bidang
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:j_idt82"">Carian Melalui</label>",Carian Melalui
label,"<label for=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:searchBy:0"">Dengan Kod Kategori</label>",Dengan Kod Kategori
label,"<label for=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:searchBy:1"">Dengan Nama Kategori</label>",Dengan Nama Kategori
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:j_idt87"">Bidang</label>",Bidang
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:j_idt91"">Sub Bidang</label>",Sub Bidang
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:j_idt95"">Pecahan Sub Bidang</label>",Pecahan Sub Bidang
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt106"">Kementerian</label>",Kementerian
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt214"">Kumpulan PTJ</label>",Kumpulan PTJ
label,"<label class=""ui-outputlabel"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt259"">PTJ</label>",PTJ
option,"<option value="""">- Pilih Satu -</option>",- Pilih Satu -
option,"<option selected=""selected"" value="""">- Pilih Satu -</option>",- Pilih Satu -
option,"<option value=""1"">01 - PENERBITAN DAN PENYIARAN</option>",01 - PENERBITAN DAN PENYIARAN
option,"<option value=""2"">02 - PERABOT, PERALATAN PEJABAT, HIASAN DALAMAN DAN DOMESTIK</option>","02 - PERABOT, PERALATAN PEJABAT, HIASAN DALAMAN DAN DOMESTIK"
option,"<option value=""3"">03 - SUKAN, REKREASI, ALAT MUZIK DAN KRAFTANGAN MALAYSIA</option>","03 - SUKAN, REKREASI, ALAT MUZIK DAN KRAFTANGAN MALAYSIA"
option,"<option value=""4"">04 - MAKANAN, MINUMAN DAN BAHAN MENTAH</option>","04 - MAKANAN, MINUMAN DAN BAHAN MENTAH"
option,"<option value=""5"">05 - PERALATAN HOSPITAL, PERUBATAN, UBAT-UBATAN DAN FARMASEUTIKAL</option>","05 - PERALATAN HOSPITAL, PERUBATAN, UBAT-UBATAN DAN FARMASEUTIKAL"
option,"<option value=""6"">06 - KIMIA, BAHAN KIMIA DAN PERALATAN MAKMAL</option>","06 - KIMIA, BAHAN KIMIA DAN PERALATAN MAKMAL"
option,"<option value=""7"">07 - PERTANIAN, PERHUTANAN DAN TERNAKAN</option>","07 - PERTANIAN, PERHUTANAN DAN TERNAKAN"
option,"<option value=""8"">08 - KEJURUTERAAN AWAM, BINAAN DAN KELENGKAPAN KEMUDAHAN AWAM</option>","08 - KEJURUTERAAN AWAM, BINAAN DAN KELENGKAPAN KEMUDAHAN AWAM"
option,"<option value=""9"">09 - BAHAN BINAAN DAN PERALATAN KESELAMATAN JALAN RAYA</option>",09 - BAHAN BINAAN DAN PERALATAN KESELAMATAN JALAN RAYA
option,"<option value=""10"">10 - PERALATAN SUKATAN DAN UKURAN</option>",10 - PERALATAN SUKATAN DAN UKURAN
option,"<option value=""11"">11 - PENGANGKUTAN, KOMPONEN DAN AKSESORI</option>","11 - PENGANGKUTAN, KOMPONEN DAN AKSESORI"
option,"<option value=""12"">12 - PERTAHANAN DAN KESELAMATAN</option>",12 - PERTAHANAN DAN KESELAMATAN
option,"<option value=""13"">13 - PERALATAN KEJURUTERAAN DAN MESIN PENGELUARAN</option>",13 - PERALATAN KEJURUTERAAN DAN MESIN PENGELUARAN
option,"<option value=""14"">14 - PERALATAN KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK</option>",14 - PERALATAN KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK
option,"<option value=""21"">21 - ICT (INFORMATION COMMUNICATION TECHNOLOGY)</option>",21 - ICT (INFORMATION COMMUNICATION TECHNOLOGY)
option,"<option value=""22"">22 - PERKHIDMATAN</option>",22 - PERKHIDMATAN
option,"<option value=""26"">33 - PERKHIDMATAN PERUNDING FIZIKAL</option>",33 - PERKHIDMATAN PERUNDING FIZIKAL
option,"<option value=""25"">34 - PERKHIDMATAN PERUNDING BUKAN FIZIKAL</option>",34 - PERKHIDMATAN PERUNDING BUKAN FIZIKAL
select,"<select id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_input"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_input""><option value="""">- Pilih Satu -</option></select>",- Pilih Satu -
select,"<select id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:catCodeLvl1"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:catCodeLvl1"" onchange=""PrimeFaces.ab({source:this,event:'change',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:catCodeLvl1',update:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt80:catCodeLvl2 _scNoticeBoard_WAR_NGePportlet_:form:j_idt80:catCodeLvl3',partialSubmit:true}, arguments[1]);"" size=""1"" style=""width: 500px;""> <option selected=""selected"" value="""">- Pilih Satu -</option> <option value=""1"">01 - PENERBITAN DAN PENYIARAN</option> <option value=""2"">02 - PERABOT, PERALATAN PEJABAT, HIASAN DALAMAN DAN DOMESTIK</option> <option value=""3"">03 - SUKAN, REKREASI, ALAT MUZIK DAN KRAFTANGAN MALAYSIA</option> <option value=""4"">04 - MAKANAN, MINUMAN DAN BAHAN MENTAH</option> <option value=""5"">05 - PERALATAN HOSPITAL, PERUBATAN, UBAT-UBATAN DAN FARMASEUTIKAL</option> <option value=""6"">06 - KIMIA, BAHAN KIMIA DAN PERALATAN MAKMAL</option> <option value=""7"">07 - PERTANIAN, PERHUTANAN DAN TERNAKAN</option> <option value=""8"">08 - KEJURUTERAAN AWAM, BINAAN DAN KELENGKAPAN KEMUDAHAN AWAM</option> <option value=""9"">09 - BAHAN BINAAN DAN PERALATAN KESELAMATAN JALAN RAYA</option> <option value=""10"">10 - PERALATAN SUKATAN DAN UKURAN</option> <option value=""11"">11 - PENGANGKUTAN, KOMPONEN DAN AKSESORI</option> <option value=""12"">12 - PERTAHANAN DAN KESELAMATAN</option> <option value=""13"">13 - PERALATAN KEJURUTERAAN DAN MESIN PENGELUARAN</option> <option value=""14"">14 - PERALATAN KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK</option> <option value=""21"">21 - ICT (INFORMATION COMMUNICATION TECHNOLOGY)</option> <option value=""22"">22 - PERKHIDMATAN</option> <option value=""26"">33 - PERKHIDMATAN PERUNDING FIZIKAL</option> <option value=""25"">34 - PERKHIDMATAN PERUNDING BUKAN FIZIKAL</option> </select>","- Pilih Satu - 01 - PENERBITAN DAN PENYIARAN 02 - PERABOT, PERALATAN PEJABAT, HIASAN DALAMAN DAN DOMESTIK 03 - SUKAN, REKREASI, ALAT MUZIK DAN KRAFTANGAN MALAYSIA 04 - MAKANAN, MINUMAN DAN BAHAN MENTAH 05 - PERALATAN HOSPITAL, PERUBATAN, UBAT-UBATAN DAN FARMASEUTIKAL 06 - KIMIA, BAHAN KIMIA DAN PERALATAN MAKMAL 07 - PERTANIAN, PERHUTANAN DAN TERNAKAN 08 - KEJURUTERAAN AWAM, BINAAN DAN KELENGKAPAN KEMUDAHAN AWAM 09 - BAHAN BINAAN DAN PERALATAN KESELAMATAN JALAN RAYA 10 - PERALATAN SUKATAN DAN UKURAN 11 - PENGANGKUTAN, KOMPONEN DAN AKSESORI 12 - PERTAHANAN DAN KESELAMATAN 13 - PERALATAN KEJURUTERAAN DAN MESIN PENGELUARAN 14 - PERALATAN KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK 21 - ICT (INFORMATION COMMUNICATION TECHNOLOGY) 22 - PERKHIDMATAN 33 - PERKHIDMATAN PERUNDING FIZIKAL 34 - PERKHIDMATAN PERUNDING BUKAN FIZIKAL"
span,"<span id=""_145_dockbarbodyContent""> <div class=""collapse nav-collapse"" id=""_145_navSiteNavigationNavbarCollapse""> <ul aria-label=""Dockbar"" class=""nav nav-navigation"" id=""_145_navSiteNavigation"" role=""menubar""> </ul> </div> <div class=""collapse nav-collapse"" id=""_145_navAccountControlsNavbarCollapse""> <ul aria-label=""Dockbar"" class=""nav nav-account-controls"" id=""_145_navAccountControls"" role=""menubar""> <!-- Added for Dockbar Disability Display --> <!-- Added for Dockbar Disability Display --> <!-- Modified for Dockbar Limited Display 20160503 --> <!-- Modified for Dockbar Limited Display --> <li class=""divider-vertical"" id=""ifiw_"" role=""presentation""> </li> <!-- Modified for Simple Classic Theme --> <!--<li class=""twitter"" id=""""><div id=""btwit"">Ikuti Kami Di &nbsp;<a href=""https://twitter.com/eperolehan"" target=""_blank""><img alt=""Twitter"" src=""/NGeP-Disability-Portlet-portlet/images/twitter_25px.png"" title=""Twitter"" /></a>&nbsp;<a href=""https://www.facebook.com/pages/ePerolehan-Malaysia/1568148210114726"" target=""_blank""><img alt=""Facebook"" src=""/NGeP-Disability-Portlet-portlet/images/fb-button.png"" title=""Facebook"" /></a>&nbsp;&nbsp;</div></li> --> <li class=""wchair"" id=""""><div id=""bw3c""><a href=""/web/guest/w3c""><img alt=""W3C"" src=""/NGeP-Disability-Portlet-portlet/images/btn-disabled.png"" title=""W3C""/></a></div></li> <li class=""btn-red gaptop"" id=""""><div id=""bred""><img alt=""Red"" src=""/NGeP-Disability-Portlet-portlet/images/color-red.png"" title=""Merah""/></div></li> <li class=""btn-green gaptop"" id=""""><div id=""bgreen""><img alt=""Green"" src=""/NGeP-Disability-Portlet-portlet/images/color-green.png"" title=""Hijau""/></div></li> <li class=""btn-blue gaptop"" id=""""><div id=""bblue""><img alt=""Blue"" src=""/NGeP-Disability-Portlet-portlet/images/color-blue.png"" title=""Biru""/></div></li> <li class=""divider-vertical"" id=""gpsg_"" role=""presentation""> </li> <!-- Added for Open In A New Tab --> <script type=""text/javascript"">function _145_OpenInNewTab(){window.open(""https://www.eperolehan.gov.my/c/portal/login?p_l_id=23030"",""_blank"")};</script> <!-- Added for Open In A New Tab --> <!-- Modified for Open In A New Tab --> <li class="""" id=""gzsl_"" role=""presentation""> <a class="""" href=""/web/epapp/dashboard"" id="""" role=""menuitem"" title=""""> <i class=""icon-user""></i> <span class=""nav-item-label""> Log Masuk </span> </a> </li> <!-- Modified for Open In A New Tab --> <!-- Modified for Simple Classic Theme --> </ul> </div> </span>",Log Masuk
span,"<span class=""nav-item-label""> Log Masuk </span>",Log Masuk
span,"<span class=""divider"">/</span>",/
span,"<span class=""divider"">/</span>",/
span,"<span class=""ui-panel-title"">Kriteria Carian</span>",Kriteria Carian
span,"<span class=""ui-dialog-title"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovPopup_title""><span id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovTitle"">Senarai - </span></span>",Senarai -
span,"<span id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovTitle"">Senarai - </span>",Senarai -
span,"<span class=""ui-panel-title"">Carian</span>",Carian
span,"<span id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:searchPanel"" style=""width:100%;""><table cellpadding=""0"" cellspacing=""0"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovCriteria""> <tbody> <tr> <td><div class=""ui-selectonemenu ui-widget ui-state-default ui-corner-all ui-helper-clearfix"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35"" style=""width: 225px;""><div class=""ui-helper-hidden""><select id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_input"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_input""><option value="""">- Pilih Satu -</option></select></div><div class=""ui-helper-hidden-accessible""><input autocomplete=""off"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_focus"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_focus"" type=""text""/></div><label class=""ui-selectonemenu-label ui-inputfield ui-corner-all"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt35_label"" style=""width: 209.2px;"">- Pilih Satu -</label><div class=""ui-selectonemenu-trigger ui-state-default ui-corner-right""><span class=""ui-icon ui-icon-triangle-1-s""></span></div></div></td> <td><input aria-disabled=""false"" aria-multiline=""false"" aria-readonly=""false"" autocomplete=""off"" class=""ui-inputfield ui-inputtext ui-widget ui-state-default ui-corner-all"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt40"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt40"" onkeypress=""if (event.keyCode == 13) { lovSearch.jq.click(); return false; }"" role=""textbox"" style=""margin-bottom: 5px;"" type=""text""/></td> </tr> </tbody> </table> <table style=""width:100%;""><tbody><tr><td style=""text-align:right;""><button aria-disabled=""false"" class=""ui-button ui-widget ui-state-default ui-corner-all ui-button-text-only"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovSearchBtn"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovSearchBtn"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:lovSearchBtn',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:searchPanel',update:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:resultPanel',partialSubmit:true});return false;"" role=""button"" type=""submit""><span class=""ui-button-text ui-c"">Cari</span></button><button aria-disabled=""false"" class=""ui-button ui-widget ui-state-default ui-corner-all ui-button-text-only"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt43"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt43"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt43',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:searchPanel',update:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:searchPanel _scNoticeBoard_WAR_NGePportlet_:form:j_idt26:resultPanel',partialSubmit:true});return false;"" role=""button"" type=""submit""><span class=""ui-button-text ui-c"">Set Semula</span></button> </td></tr></tbody></table></span>",- Pilih Satu -- Pilih Satu -     CariSet Semula
span,"<span class=""ui-button-text ui-c"">Cari</span>",Cari
span,"<span class=""ui-button-text ui-c"">Set Semula</span>",Set Semula
span,"<span class=""ui-panel-title"">Hasil Carian</span>",Hasil Carian
span,"<span id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:resultPanel"" style=""width:100%;""> <table style=""width:100%;""><tbody><tr><td style=""text-align:right;""><button aria-disabled=""true"" class=""ui-button ui-widget ui-state-default ui-corner-all ui-button-text-only ui-state-disabled BtnSpacing"" disabled=""disabled"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:slbtn"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:slbtn"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:slbtn',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:resultPanel',update:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:searchPanel',partialSubmit:true,oncomplete:function(xhr,status,args){lovPopup.hide();;}});return false;"" role=""button"" type=""submit""><span class=""ui-button-text ui-c"">Pilih</span></button><button aria-disabled=""false"" class=""ui-button ui-widget ui-state-default ui-corner-all ui-button-text-only BtnSpacing"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt59"" name=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt59"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt59',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt59',update:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt26:j_idt59',partialSubmit:true,oncomplete:function(xhr,status,args){lovPopup.hide();;}});return false;"" role=""button"" type=""submit""><span class=""ui-button-text ui-c"">Batal</span></button> </td> </tr></tbody></table></span>",PilihBatal
